name,price,specs,reviews
Laptop A,60000,"i5, 8GB RAM, 512GB SSD","Good performance; Battery decent"
Laptop B,75000,"i7, 16GB RAM, 512GB SSD","Very fast; Great display"
Laptop C,50000,"Ryzen 5, 8GB RAM, 256GB SSD","Affordable; Smooth usage"
Laptop D,85000,"i7, 16GB RAM, 1TB SSD","Excellent speed; Premium feel"
Laptop E,45000,"i3, 8GB RAM, 512GB SSD","Budget friendly; Good for students"
Laptop F,70000,"Ryzen 7, 16GB RAM, 512GB SSD","Powerful; Good multitasking"
Laptop G,65000,"i5, 16GB RAM, 512GB SSD","Balanced; Good battery"
Laptop H,90000,"i9, 16GB RAM, 1TB SSD","High performance; Expensive"
Laptop I,55000,"Ryzen 5, 8GB RAM, 512GB SSD","Value for money; Reliable"
Laptop J,48000,"i3, 8GB RAM, 256GB SSD","Decent; Lightweight"

Headphones A,3000,"ANC, Bluetooth 5.0","Good noise canceling; Comfortable"
Headphones B,5000,"ANC, Bluetooth 5.2","Excellent sound; Strong bass"
Headphones C,2000,"Bluetooth 5.0","Affordable; Decent audio"
Headphones D,7000,"ANC, Wireless","Premium build; Clear sound"
Headphones E,1500,"Wired","Budget option; Average sound"
Headphones F,4000,"Bluetooth 5.1","Good battery; Balanced audio"
Headphones G,6000,"ANC, Bluetooth 5.3","Great ANC; Crisp sound"
Headphones H,3500,"Wireless","Comfortable; Good for calls"
Headphones I,2500,"Bluetooth","Compact; Lightweight"
Headphones J,4500,"ANC","Strong bass; Stylish design"

Smartphone A,20000,"6GB RAM, 128GB Storage","Smooth UI; Good camera"
Smartphone B,30000,"8GB RAM, 128GB Storage","Fast; Great display"
Smartphone C,15000,"4GB RAM, 64GB Storage","Affordable; Decent performance"
Smartphone D,40000,"12GB RAM, 256GB Storage","Flagship; Excellent camera"
Smartphone E,25000,"8GB RAM, 128GB Storage","Good battery; Smooth"
Smartphone F,18000,"6GB RAM, 128GB Storage","Value for money"
Smartphone G,35000,"8GB RAM, 256GB Storage","Premium feel"
Smartphone H,12000,"4GB RAM, 64GB Storage","Basic use"
Smartphone I,28000,"8GB RAM, 128GB Storage","Balanced performance"
Smartphone J,45000,"12GB RAM, 512GB Storage","Top performance"

Smartwatch A,3000,"Heart Rate, Sleep Tracking","Good features; Affordable"
Smartwatch B,5000,"SpO2, Fitness Tracking","Accurate; Stylish"
Smartwatch C,2000,"Basic Tracking","Budget option"
Smartwatch D,7000,"AMOLED, GPS","Premium; Smooth UI"
Smartwatch E,4000,"Bluetooth Calling","Useful; Good battery"
Smartwatch F,6000,"Fitness Tracking","Reliable; Durable"
Smartwatch G,3500,"Heart Rate","Lightweight"
Smartwatch H,8000,"GPS, AMOLED","High quality"
Smartwatch I,2500,"Basic","Simple usage"
Smartwatch J,4500,"SpO2","Good value"

Tablet A,20000,"8GB RAM, 128GB Storage","Good for study"
Tablet B,30000,"8GB RAM, 256GB Storage","Fast; Great display"
Tablet C,15000,"4GB RAM, 64GB Storage","Affordable"
Tablet D,40000,"12GB RAM, 256GB Storage","High performance"
Tablet E,25000,"6GB RAM, 128GB Storage","Balanced"
Tablet F,18000,"4GB RAM, 128GB Storage","Value for money"
Tablet G,35000,"8GB RAM, 256GB Storage","Premium"
Tablet H,12000,"3GB RAM, 32GB Storage","Basic use"
Tablet I,28000,"6GB RAM, 128GB Storage","Smooth"
Tablet J,45000,"12GB RAM, 512GB Storage","Top tier"
